Serial Number:20294701 --

"Date Time, GMT -0500","Temp, (*F)","Button Down","Button Up","Host Connect","Stopped","EOF"
2018-02-01 03:03:39,88.52, , , , , 
2018-02-01 03:08:39,87.83, , , , , 
2018-02-01 03:13:39,88.06, , , , , 
2018-02-01 03:18:39,88.44, , , , , 
2018-02-01 03:23:39,87.90, , , , , 
2018-02-01 03:28:39,88.29, , , , , 
2018-02-01 03:33:39,88.21, , , , , 
2018-02-01 03:38:39,87.90, , , , , 
2018-02-01 03:43:39,88.37, , , , , 
2018-02-01 03:48:39,87.98, , , , , 
2018-02-01 03:53:39,88.06, , , , , 
2018-02-01 03:58:39,88.44, , , , , 
2018-02-01 04:03:39,87.83, , , , , 
2018-02-01 04:08:39,88.29, , , , , 
2018-02-01 04:13:39,88.21, , , , , 
2018-02-01 04:18:39,87.83, , , , , 
2018-02-01 04:23:39,88.52, , , , , 
2018-02-01 04:28:39,87.90, , , , , 
2018-02-01 04:33:39,88.13, , , , , 
2018-02-01 04:38:39,88.37, , , , , 
2018-02-01 04:43:39,87.83, , , , , 
2018-02-01 04:48:39,88.44, , , , , 
2018-02-01 04:53:39,87.98, , , , , 
2018-02-01 04:58:39,88.21, , , , , 
2018-02-01 05:03:39,88.29, , , , , 
2018-02-01 05:08:39,87.98, , , , , 
2018-02-01 05:13:39,88.44, , , , , 
2018-02-01 05:18:39,87.90, , , , , 
2018-02-01 05:23:39,88.21, , , , , 
2018-02-01 05:28:39,88.37, , , , , 
2018-02-01 05:33:39,87.83, , , , , 
2018-02-01 05:38:39,88.29, , , , , 
2018-02-01 05:43:39,88.44, , , , , 
2018-02-01 05:48:39,87.90, , , , , 
2018-02-01 05:53:39,88.29, , , , , 
2018-02-01 05:58:39,88.44, , , , , 
2018-02-01 06:03:39,87.98, , , , , 
2018-02-01 06:08:39,88.21, , , , , 
2018-02-01 06:13:39,88.52, , , , , 
2018-02-01 06:18:39,87.90, , , , , 
2018-02-01 06:23:39,88.06, , , , , 
2018-02-01 06:28:39,88.44, , , , , 
2018-02-01 06:33:39,88.60, , , , , 
2018-02-01 06:38:39,87.83, , , , , 
2018-02-01 06:43:39,88.21, , , , , 
2018-02-01 06:48:39,88.52, , , , , 
2018-02-01 06:53:39,87.90, , , , , 
2018-02-01 06:58:39,88.21, , , , , 
2018-02-01 07:03:39,88.60, , , , , 
2018-02-01 07:08:39,87.83, , , , , 
2018-02-01 07:13:39,88.21, , , , , 
2018-02-01 07:18:39,88.68, , , , , 
2018-02-01 07:23:39,88.06, , , , , 
2018-02-01 07:28:39,88.44, , , , , 
2018-02-01 07:33:39,88.68, , , , , 
2018-02-01 07:38:39,88.13, , , , , 
2018-02-01 07:43:39,88.68, , , , , 
2018-02-01 07:48:39,88.60, , , , , 
2018-02-01 07:53:39,88.37, , , , , 
2018-02-01 07:58:39,88.91, , , , , 
2018-02-01 08:03:39,88.44, , , , , 
2018-02-01 08:08:39,88.44, , , , , 
2018-02-01 08:13:39,88.91, , , , , 
2018-02-01 08:18:39,88.29, , , , , 
2018-02-01 08:23:39,88.68, , , , , 
2018-02-01 08:28:39,88.75, , , , , 
2018-02-01 08:33:39,88.29, , , , , 
2018-02-01 08:38:39,88.75, , , , , 
2018-02-01 08:43:39,88.68, , , , , 
2018-02-01 08:48:39,88.37, , , , , 
2018-02-01 08:53:39,88.91, , , , , 
2018-02-01 08:58:39,88.52, , , , , 
2018-02-01 09:03:39,88.13, , , , , 
2018-02-01 09:08:39,88.75, , , , , 
2018-02-01 09:13:39,89.06, , , , , 
2018-02-01 09:18:39,88.91, , , , , 
2018-02-01 09:23:39,89.22, , , , , 
2018-02-01 09:28:39,88.37, , , , , 
2018-02-01 09:33:39,88.68, , , , , 
2018-02-01 09:38:39,89.14, , , , , 
2018-02-01 09:43:39,89.60, , , , , 
2018-02-01 09:48:39,89.68, , , , , 
2018-02-01 09:53:39,88.68, , , , , 
2018-02-01 09:58:39,88.13, , , , , 
2018-02-01 10:03:39,88.60, , , , , 
2018-02-01 10:08:39,88.60, , , , , 
2018-02-01 10:13:39,88.06, , , , , 
2018-02-01 10:18:39,88.52, , , , , 
2018-02-01 10:23:39,88.98, , , , , 
2018-02-01 10:28:39,88.21, , , , , 
2018-02-01 10:33:39,88.60, , , , , 
2018-02-01 10:38:39,88.91, , , , , 
2018-02-01 10:43:39,88.13, , , , , 
2018-02-01 10:48:39,88.44, , , , , 
2018-02-01 10:53:39,88.91, , , , , 
2018-02-01 10:58:39,88.60, , , , , 
2018-02-01 11:03:39,89.83, , , , , 
2018-02-01 11:08:39,90.61, , , , , 
2018-02-01 11:13:39,91.07, , , , , 
2018-02-01 11:18:39,90.22, , , , , 
2018-02-01 11:23:39,89.83, , , , , 
2018-02-01 11:28:39,90.61, , , , , 
2018-02-01 11:33:39,91.30, , , , , 
2018-02-01 11:38:39,89.99, , , , , 
2018-02-01 11:43:39,90.22, , , , , 
2018-02-01 11:48:39,90.99, , , , , 
2018-02-01 11:53:39,91.22, , , , , 
2018-02-01 11:58:39,89.45, , , , , 
2018-02-01 12:03:39,90.22, , , , , 
2018-02-01 12:08:39,91.30, , , , , 
2018-02-01 12:13:39,91.61, , , , , 
2018-02-01 12:18:39,89.91, , , , , 
2018-02-01 12:23:39,90.30, , , , , 
2018-02-01 12:28:39,91.07, , , , , 
2018-02-01 12:33:39,91.22, , , , , 
2018-02-01 12:38:39,89.37, , , , , 
2018-02-01 12:43:39,89.91, , , , , 
2018-02-01 12:48:39,90.68, , , , , 
2018-02-01 12:53:39,90.76, , , , , 
2018-02-01 12:58:39,88.98, , , , , 
2018-02-01 13:03:39,89.76, , , , , 
2018-02-01 13:08:39,89.83, , , , , 
2018-02-01 13:13:39,88.68, , , , , 
2018-02-01 13:18:39,87.98, , , , , 
2018-02-01 13:23:39,88.37, , , , , 
2018-02-01 13:28:39,88.52, , , , , 
2018-02-01 13:33:39,87.90, , , , , 
