Plot Title: 7B_H,,,,
#,"Date Time, GMT-05:00","Temp, °C (LGR S/N: 10257406, SEN S/N: 10257406)",Stopped (LGR S/N: 10257406),End Of File (LGR S/N: 10257406)
579,2/3/18 15:39,26.488,,
580,2/3/18 16:09,26.488,,
581,2/3/18 16:39,26.292,,
582,2/3/18 17:09,26.097,,
583,2/3/18 17:39,26.097,,
584,2/3/18 18:09,26.195,,
585,2/3/18 18:39,26.292,,
586,2/3/18 19:09,26.292,,
587,2/3/18 19:39,26.39,,
588,2/3/18 20:09,26.39,,
589,2/3/18 20:39,26.39,,
590,2/3/18 21:09,26.488,,
591,2/3/18 21:39,26.488,,
592,2/3/18 22:09,26.488,,
593,2/3/18 22:39,26.488,,
594,2/3/18 23:09,26.585,,
595,2/3/18 23:39,26.585,,
596,2/4/18 0:09,26.585,,
597,2/4/18 0:39,26.585,,
598,2/4/18 1:09,26.585,,
599,2/4/18 1:39,26.585,,
600,2/4/18 2:09,26.683,,
601,2/4/18 2:39,26.585,,
602,2/4/18 3:09,26.585,,
603,2/4/18 3:39,26.585,,
604,2/4/18 4:09,26.683,,
605,2/4/18 4:39,26.683,,
606,2/4/18 5:09,26.683,,
607,2/4/18 5:39,26.585,,
608,2/4/18 6:09,26.683,,
609,2/4/18 6:39,26.683,,
610,2/4/18 7:09,26.781,,
611,2/4/18 7:39,26.879,,
612,2/4/18 8:09,26.977,,
613,2/4/18 8:39,26.977,,
614,2/4/18 9:09,26.977,,
615,2/4/18 9:39,26.977,,
616,2/4/18 10:09,26.977,,
617,2/4/18 10:39,26.977,,
618,2/4/18 11:09,27.075,,
619,2/4/18 11:39,27.173,,
620,2/4/18 12:09,27.272,,
621,2/4/18 12:39,27.272,,
622,2/4/18 13:09,26.683,,
623,2/4/18 13:39,25.805,,
624,2/4/18 14:09,25.319,,
625,2/4/18 14:39,24.931,,
626,2/4/18 15:09,24.835,,
627,2/4/18 15:39,25.319,,
628,2/4/18 16:09,25.805,,
629,2/4/18 16:39,26.292,,
630,2/4/18 17:09,26.683,,
631,2/4/18 17:39,26.879,,
632,2/4/18 18:09,27.075,,
633,2/4/18 18:39,27.272,,
634,2/4/18 19:09,27.272,,
635,2/4/18 19:39,27.173,,
636,2/4/18 20:09,27.173,,
637,2/4/18 20:39,27.173,,
638,2/4/18 21:09,27.173,,
639,2/4/18 21:39,27.272,,
640,2/4/18 22:09,27.173,,
641,2/4/18 22:39,27.173,,
642,2/4/18 23:09,27.173,,
643,2/4/18 23:39,27.173,,
644,2/5/18 0:09,27.272,,
645,2/5/18 0:39,27.173,,
646,2/5/18 1:09,27.173,,
647,2/5/18 1:39,27.173,,
648,2/5/18 2:09,27.173,,
649,2/5/18 2:39,27.173,,
650,2/5/18 3:09,27.173,,
651,2/5/18 3:39,27.173,,
652,2/5/18 4:09,27.173,,
653,2/5/18 4:39,27.173,,
654,2/5/18 5:09,27.173,,
655,2/5/18 5:39,27.173,,
656,2/5/18 6:09,27.173,,
657,2/5/18 6:39,27.173,,
658,2/5/18 7:09,27.37,,
659,2/5/18 7:39,27.37,,
660,2/5/18 8:09,27.468,,
661,2/5/18 8:39,27.468,,
662,2/5/18 9:09,27.468,,
663,2/5/18 9:39,27.468,,
664,2/5/18 10:09,27.468,,
665,2/5/18 10:39,27.468,,
666,2/5/18 11:09,27.468,,
667,2/5/18 11:39,27.468,,
668,2/5/18 12:09,27.272,,
669,2/5/18 12:39,26.39,,
670,2/5/18 13:09,25.902,,
671,2/5/18 13:39,25.513,,
672,2/5/18 14:09,25.416,,
673,2/5/18 14:39,25.319,,
674,2/5/18 15:09,25.513,,
675,2/5/18 15:39,25.61,,
676,2/5/18 16:09,25.61,,
677,2/5/18 16:39,25.708,,
678,2/5/18 17:09,25.708,,
679,2/5/18 17:39,25.805,,
680,2/5/18 18:09,25.805,,
681,2/5/18 18:39,25.902,,
682,2/5/18 19:09,25.805,,
683,2/5/18 19:39,25.708,,
684,2/5/18 20:09,25.61,,
685,2/5/18 20:39,25.61,,
686,2/5/18 21:09,25.513,,
687,2/5/18 21:39,25.513,,
688,2/5/18 22:09,25.513,,
689,2/5/18 22:39,25.513,,
690,2/5/18 23:09,25.513,,
691,2/5/18 23:39,25.513,,
692,2/6/18 0:09,25.416,,
693,2/6/18 0:39,25.416,,
694,2/6/18 1:09,25.416,,
695,2/6/18 1:39,25.513,,
696,2/6/18 2:09,25.416,,
697,2/6/18 2:39,25.416,,
698,2/6/18 3:09,25.416,,
699,2/6/18 3:39,25.416,,
700,2/6/18 4:09,25.513,,
701,2/6/18 4:39,25.513,,
702,2/6/18 5:09,25.416,,
703,2/6/18 5:39,25.416,,
704,2/6/18 6:09,25.513,,
705,2/6/18 6:39,25.513,,
706,2/6/18 7:09,25.61,,
707,2/6/18 7:39,25.61,,
708,2/6/18 8:09,25.708,,
709,2/6/18 8:39,25.708,,
710,2/6/18 9:09,25.708,,
711,2/6/18 9:39,25.708,,
712,2/6/18 10:09,25.61,,
713,2/6/18 10:39,25.708,,
714,2/6/18 11:09,25.708,,
715,2/6/18 11:39,25.61,,
716,2/6/18 12:09,25.708,,
717,2/6/18 12:39,25.708,,
718,2/6/18 13:09,25.708,,
719,2/6/18 13:39,25.708,,
