* Block Type = 96-Well 0.1-mL Block
* Calibration Background is expired  = No
* Calibration Background performed on = 03-02-2017
* Calibration Pure Dye ABY is expired = No
* Calibration Pure Dye ABY performed on = 03-02-2017
* Calibration Pure Dye FAM is expired = No
* Calibration Pure Dye FAM performed on = 03-02-2017
* Calibration Pure Dye JUN is expired = No
* Calibration Pure Dye JUN performed on = 03-02-2017
* Calibration Pure Dye NED is expired = No
* Calibration Pure Dye NED performed on = 03-02-2017
* Calibration Pure Dye ROX is expired = No
* Calibration Pure Dye ROX performed on = 03-02-2017
* Calibration Pure Dye SYBR is expired = No
* Calibration Pure Dye SYBR performed on = 03-02-2017
* Calibration Pure Dye TAMRA is expired = No
* Calibration Pure Dye TAMRA performed on = 03-02-2017
* Calibration Pure Dye VIC is expired = No
* Calibration Pure Dye VIC performed on = 03-02-2017
* Calibration ROI is expired  = No
* Calibration ROI performed on = 03-02-2017
* Calibration Uniformity is expired  = No
* Calibration Uniformity performed on = 03-02-2017
* Chemistry = TAQMAN
* Date Created = 2018-09-28 13:17:21 PM PDT
* Experiment Barcode = NA
* Experiment Comment = NA
* Experiment File Name = D:\Users\INSTR-ADMIN\experiments\Nash\20180622_NS_moteLH03.eds
* Experiment Name = NS_20180622_moteLH03
* Experiment Run End Time = 2018-06-22 12:19:42 PM PDT
* Experiment Type = Standard Curve
* Instrument Name =       172310454
* Instrument Serial Number = 172310454
* Instrument Type = QuantStudio™ 3 System
* Passive Reference = ROX
* Post-read Stage/Step = 
* Pre-read Stage/Step = 
* Quantification Cycle Method = Ct
* Signal Smoothing On = true
* Stage/ Cycle where Ct Analysis is performed = Stage2, Step2
* User Name = NA

[Results]
Well	Well Position	Omit	Sample Name	Target Name	Task	Reporter	Quencher	CT	Ct Mean	Ct SD	Quantity	Quantity Mean	Quantity SD	Y-Intercept	R(superscript 2)	Slope	Efficiency	Automatic Ct Threshold	Ct Threshold	Automatic Baseline	Baseline Start	Baseline End	Amp Status	Comments	Cq Conf	EXPFAIL	CQCONF	HIGHSD	NOAMP
48	D12	false	NEC5	D	UNKNOWN	FAM	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
49	E1	false	25-19A-T1	Ssid	UNKNOWN	SYBR	None	22.572	22.294	0.392								false	0.010	true	3	21	Amp		0.590	N	Y	N	N
50	E2	false	25-19A-T1	Ssid	UNKNOWN	SYBR	None	22.017	22.294	0.392								false	0.010	true	3	20	Amp		0.455	N	Y	N	N
51	E3	false	25-19A-T1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
51	E3	false	25-19A-T1	D	UNKNOWN	FAM	NFQ-MGB	30.379	30.059	0.452								false	0.010	true	3	29	Amp		0.802	N	N	N	N
52	E4	false	25-19A-T1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
52	E4	false	25-19A-T1	D	UNKNOWN	FAM	NFQ-MGB	29.739	30.059	0.452								false	0.010	true	3	28	Amp		0.755	N	Y	N	N
53	E5	false	26-24A-T1	Ssid	UNKNOWN	SYBR	None	24.328	24.121	0.292								false	0.010	true	3	23	Amp		0.526	N	Y	N	N
54	E6	false	26-24A-T1	Ssid	UNKNOWN	SYBR	None	23.914	24.121	0.292								false	0.010	true	3	23	Amp		0.586	N	Y	N	N
55	E7	false	26-24A-T1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
55	E7	false	26-24A-T1	D	UNKNOWN	FAM	NFQ-MGB	29.514	29.019	0.701								false	0.010	true	3	28	Amp		0.752	N	Y	Y	N
56	E8	false	26-24A-T1	C	UNKNOWN	VIC	NFQ-MGB	Undetermined										false	0.010	true	3	39	No Amp		0.000	Y	Y	N	Y
56	E8	false	26-24A-T1	D	UNKNOWN	FAM	NFQ-MGB	28.523	29.019	0.701								false	0.010	true	3	27	Amp		0.598	N	Y	Y	N
